iter	Passed	Remaining
854	2951	500
855	2955	497
856	2958	493
857	2962	490
858	2965	486
859	2968	483
860	2972	479
861	2976	476
862	2979	473
863	2982	469
864	2986	466
865	2989	462
866	2993	459
867	2996	455
868	3000	452
869	3003	448
870	3007	445
871	3010	441
872	3014	438
873	3017	435
874	3020	431
875	3024	428
876	3027	424
877	3030	421
878	3034	417
879	3037	414
880	3040	410
881	3044	407
882	3048	403
883	3051	400
884	3055	397
885	3058	393
886	3061	390
887	3065	386
888	3068	383
889	3071	379
890	3074	376
891	3077	372
892	3081	369
893	3084	365
894	3087	362
895	3090	358
896	3094	355
897	3097	351
898	3101	348
899	3105	345
900	3108	341
901	3112	338
902	3116	334
903	3120	331
904	3123	327
905	3127	324
906	3130	320
907	3134	317
908	3137	314
909	3140	310
910	3145	307
911	3148	303
912	3152	300
913	3156	296
914	3159	293
915	3162	290
916	3166	286
917	3169	283
918	3172	279
919	3177	276
920	3180	272
921	3183	269
922	3187	265
923	3190	262
924	3193	258
925	3197	255
926	3201	252
927	3205	248
928	3208	245
929	3212	241
930	3215	238
931	3219	234
932	3223	231
933	3226	227
934	3229	224
935	3234	221
936	3237	217
937	3240	214
938	3243	210
939	3247	207
940	3251	203
941	3254	200
942	3257	196
943	3261	193
944	3264	190
945	3268	186
946	3271	183
947	3274	179
948	3277	176
949	3281	172
950	3284	169
951	3288	165
952	3292	162
953	3295	158
954	3298	155
955	3302	151
956	3305	148
957	3307	145
958	3311	141
959	3314	138
960	3317	134
961	3320	131
962	3324	127
963	3327	124
964	3331	120
965	3334	117
966	3338	113
967	3341	110
968	3344	106
969	3347	103
970	3350	100
971	3354	96
972	3357	93
973	3361	89
974	3364	86
975	3368	82
976	3371	79
977	3375	75
978	3378	72
979	3381	69
980	3384	65
981	3388	62
982	3391	58
983	3395	55
984	3398	51
985	3402	48
986	3405	44
987	3408	41
988	3411	37
989	3415	34
990	3419	31
991	3422	27
992	3426	24
993	3430	20
994	3433	17
995	3437	13
996	3440	10
997	3444	6
998	3448	3
999	3451	0
